"","from_id","to_id","travel_time_p50"
"213","42091200401","CityHall",105
"214","42091203902","CityHall",137
"215","42091206400","CityHall",137
"216","42045403901","CityHall",105
"217","42045404700","CityHall",105
"218","42045410601","CityHall",93
"219","42045404004","CityHall",135
"220","42045406700","CityHall",165
"221","42045405300","CityHall",129
"222","42045403401","CityHall",86
"223","42045402800","CityHall",138
"224","42045404103","CityHall",88
"225","42045408800","CityHall",77
"226","42045408700","CityHall",81
"227","42045402100","CityHall",54
"228","42045407901","CityHall",121
"229","42045407401","CityHall",104
"230","42045408103","CityHall",130
"231","42045404003","CityHall",93
"232","42045400401","CityHall",49
"233","42045404600","CityHall",105
"234","42101002500","CityHall",38
"235","42101003002","CityHall",29
"236","42101003600","CityHall",40
"237","42101004202","CityHall",44
"238","42101006000","CityHall",69
"239","42101007000","CityHall",41
"240","42101008101","CityHall",46
"241","42101008500","CityHall",41
"242","42101009400","CityHall",33
"243","42101009801","CityHall",57
"244","42101010200","CityHall",35
"245","42101010700","CityHall",41
"246","42101011200","CityHall",37
"247","42101011400","CityHall",60
"248","42101011800","CityHall",57
"249","42101013402","CityHall",29
"250","42101013800","CityHall",44
"251","42101014600","CityHall",28
"252","42101016100","CityHall",44
"253","42101016902","CityHall",45
"254","42101017100","CityHall",44
"255","42101038200","CityHall",69
"256","42101019200","CityHall",63
"257","42101020102","CityHall",31
"258","42101020900","CityHall",53
"259","42101038400","CityHall",94
"260","42101023800","CityHall",61
"261","42101024900","CityHall",53
"262","42101025300","CityHall",52
"263","42101026600","CityHall",64
"264","42101027500","CityHall",58
"265","42101028000","CityHall",56
"266","42101029000","CityHall",52
"267","42101029900","CityHall",58
"268","42101030800","CityHall",67
"269","42101031102","CityHall",79
"270","42101032500","CityHall",73
"271","42101033000","CityHall",77
"272","42101033701","CityHall",72
"273","42101033800","CityHall",77
"274","42101035200","CityHall",96
"275","42101036100","CityHall",104
"276","42101036400","CityHall",100
"277","42101001600","CityHall",36
"278","42101980500","CityHall",45
"279","42101980100","CityHall",63
"280","42101980600","CityHall",36
"281","42101023100","CityHall",81
"282","42101011700","CityHall",46
"283","42101025800","CityHall",73
"284","42101001102","CityHall",29
"285","42101038100","CityHall",99
"286","42091206201","CityHall",156
"287","42045402300","CityHall",49
"288","42091205811","CityHall",121
"289","42101989300","CityHall",61
"290","42101980002","CityHall",63
"291","42101012501","CityHall",22
"292","42017100103","CityHall",100
"293","42017104701","CityHall",129
"294","42017101603","CityHall",144
"295","42017100811","CityHall",148
"296","42091202100","CityHall",75
"297","42091203303","CityHall",99
"298","42091200502","CityHall",89
"299","42091202603","CityHall",81
"300","42091206300","CityHall",151
"301","42091202201","CityHall",65
"302","42091205300","CityHall",91
"303","42045406902","CityHall",161
"304","42045407805","CityHall",105
"305","42045401401","CityHall",89
"306","42045406300","CityHall",145
"307","42045405000","CityHall",113
"308","42045404800","CityHall",107
"309","42045406202","CityHall",145
"310","42045409100","CityHall",81
"311","42045402700","CityHall",81
"312","42045409602","CityHall",95
"313","42045407502","CityHall",76
"314","42045406100","CityHall",106
"315","42045403601","CityHall",105
"316","42045403501","CityHall",105
"317","42045410800","CityHall",125
"318","42045401900","CityHall",83
"319","42045401402","CityHall",73
"320","42045403402","CityHall",138
"321","42045401302","CityHall",96
"322","42045400600","CityHall",60
"323","42045400402","CityHall",53
"324","42045408300","CityHall",83
"325","42045407201","CityHall",106
"326","42045407902","CityHall",159
"327","42101030600","CityHall",59
"328","42101030700","CityHall",61
"329","42101031101","CityHall",66
"330","42101031300","CityHall",64
"331","42101031600","CityHall",79
"332","42101031700","CityHall",73
"333","42101032300","CityHall",62
"334","42101032600","CityHall",72
"335","42101033101","CityHall",81
"336","42101033600","CityHall",75
"337","42101035302","CityHall",108
"338","42101036301","CityHall",100
"339","42101003800","CityHall",33
"340","42101008302","CityHall",45
"341","42101000600","CityHall",23
"342","42101001400","CityHall",35
"343","42101001900","CityHall",39
"344","42101002300","CityHall",31
"345","42101002400","CityHall",29
"346","42101002900","CityHall",23
"347","42101003001","CityHall",25
"348","42101003300","CityHall",38
"349","42101003902","CityHall",30
"350","42101036201","CityHall",84
"351","42101004002","CityHall",29
"352","42101035701","CityHall",93
"353","42101037200","CityHall",35
"354","42101005500","CityHall",71
"355","42101006500","CityHall",48
"356","42101007101","CityHall",36
"357","42101007102","CityHall",49
"358","42101008000","CityHall",40
"359","42101008102","CityHall",50
"360","42101017601","CityHall",51
"361","42101008400","CityHall",31
"362","42101009100","CityHall",30
"363","42101009300","CityHall",33
"364","42101010000","CityHall",71
"365","42101010100","CityHall",53
"366","42101014400","CityHall",34
"367","42101015101","CityHall",46
"368","42101015300","CityHall",36
"369","42101015800","CityHall",50
"370","42101016701","CityHall",41
"371","42101017201","CityHall",45
"372","42091206004","CityHall",137
"373","42101017900","CityHall",57
"374","42101018002","CityHall",54
"375","42101037900","CityHall",65
"376","42101019000","CityHall",45
"377","42101019100","CityHall",65
"378","42101019800","CityHall",41
"379","42101020200","CityHall",40
"380","42101020500","CityHall",61
"381","42101021000","CityHall",46
"382","42101021800","CityHall",65
"383","42101038500","CityHall",74
"384","42101023600","CityHall",68
"385","42101026301","CityHall",61
"386","42101024500","CityHall",59
"387","42101024600","CityHall",54
"388","42101038900","CityHall",56
"389","42101026000","CityHall",57
"390","42101026100","CityHall",73
"391","42101026500","CityHall",65
"392","42101027300","CityHall",62
"393","42101027401","CityHall",50
"394","42101027901","CityHall",53
"395","42101027902","CityHall",50
"396","42101028700","CityHall",45
"397","42101029100","CityHall",71
"398","42101029200","CityHall",70
"399","42101030000","CityHall",64
"400","42101010300","CityHall",34
"401","42101037500","CityHall",77
"402","42101036000","CityHall",98
"403","42101002000","CityHall",48
"404","42101014100","CityHall",38
"405","42101017400","CityHall",42
"406","42101024000","CityHall",49
"407","42101002702","CityHall",34
"408","42101038000","CityHall",69
"409","42045980000","CityHall",69
"410","42101016001","CityHall",46
"411","42101004104","CityHall",31
"412","42101001204","CityHall",25
"413","42101036902","CityHall",29
"414","42101020701","CityHall",65
"415","42101000403","CityHall",14
"416","42101000806","CityHall",17
"417","42101980003","CityHall",37
"418","42101980701","CityHall",64
"419","42091200103","CityHall",113
"420","42017104702","CityHall",129
"421","42017100201","CityHall",105
"422","42017100401","CityHall",148
"423","42045406402","CityHall",133
"424","42101980903","CityHall",61
"425","42091202301","CityHall",65
"426","42091201800","CityHall",71
"427","42091201411","CityHall",120
"428","42091200602","CityHall",153
"429","42091201606","CityHall",87
"430","42091204104","CityHall",105
"431","42091205402","CityHall",94
"432","42091980300","CityHall",121
"433","42101036600","CityHall",51
"434","42101008601","CityHall",35
"435","42101980400","CityHall",64
"436","42101033200","CityHall",89
"437","42101008301","CityHall",49
"438","42101009200","CityHall",53
"439","42101011900","CityHall",57
"440","42101012204","CityHall",46
"441","42101015200","CityHall",40
"442","42101019900","CityHall",41
"443","42101038800","CityHall",81
"444","42101024700","CityHall",45
"445","42101027800","CityHall",45
"446","42101030200","CityHall",57
"447","42101031200","CityHall",79
"448","42101033300","CityHall",82
"449","42101033900","CityHall",69
"450","42101035500","CityHall",92
"451","42101035800","CityHall",97
"452","42101034702","CityHall",80
"453","42045403002","CityHall",125
"454","42045406201","CityHall",145
"455","42045400500","CityHall",63
"456","42045404101","CityHall",135
"457","42101010400","CityHall",49
"458","42101010500","CityHall",49
"459","42101039001","CityHall",62
"460","42101039002","CityHall",88
"461","42101014201","CityHall",31
"462","42101000701","CityHall",19
"463","42091205806","CityHall",100
"464","42091203402","CityHall",121
"465","42091206007","CityHall",153
"466","42101008802","CityHall",32
"467","42101013900","CityHall",37
"468","42101015102","CityHall",40
"469","42101017300","CityHall",51
"470","42029300201","CityHall",121
"471","42045404500","CityHall",138
"472","42045404102","CityHall",135
"473","42101000902","CityHall",28
"474","42101004101","CityHall",24
"475","42101028300","CityHall",48
"476","42101028901","CityHall",58
"477","42101012203","CityHall",56
"478","42101034501","CityHall",90
"479","42101013300","CityHall",26
"480","42045407202","CityHall",145
"481","42045405200","CityHall",112
