"","from_id","to_id","travel_time_p50"
"213","42045410500","CityHall",46
"214","42017100207","CityHall",119
"215","42017100208","CityHall",120
"216","42017100211","CityHall",105
"217","42017100600","CityHall",172
"218","42017100403","CityHall",179
"219","42091201302","CityHall",109
"220","42091201607","CityHall",89
"221","42091200308","CityHall",91
"222","42091200401","CityHall",105
"223","42091203902","CityHall",126
"224","42091206400","CityHall",137
"225","42045403901","CityHall",103
"226","42045404700","CityHall",104
"227","42045410601","CityHall",93
"228","42045404004","CityHall",120
"229","42045406700","CityHall",150
"230","42045405300","CityHall",121
"231","42045403401","CityHall",83
"232","42045402800","CityHall",120
"233","42045404103","CityHall",80
"234","42045408800","CityHall",74
"235","42045408700","CityHall",78
"236","42045402100","CityHall",50
"237","42045407901","CityHall",121
"238","42045407401","CityHall",88
"239","42045408103","CityHall",84
"240","42045404003","CityHall",89
"241","42045400401","CityHall",47
"242","42045404600","CityHall",104
"243","42101002500","CityHall",31
"244","42101003002","CityHall",27
"245","42101003600","CityHall",36
"246","42101004202","CityHall",37
"247","42101006000","CityHall",60
"248","42101007000","CityHall",39
"249","42101008101","CityHall",44
"250","42101008500","CityHall",33
"251","42101009400","CityHall",30
"252","42101009801","CityHall",54
"253","42101010200","CityHall",32
"254","42101010700","CityHall",39
"255","42101011200","CityHall",35
"256","42101011400","CityHall",53
"257","42101011800","CityHall",53
"258","42101013402","CityHall",28
"259","42101013800","CityHall",37
"260","42101014600","CityHall",25
"261","42101016100","CityHall",43
"262","42101016902","CityHall",41
"263","42101017100","CityHall",41
"264","42101038200","CityHall",48
"265","42101019200","CityHall",58
"266","42101020102","CityHall",29
"267","42101020900","CityHall",49
"268","42101038400","CityHall",94
"269","42101023800","CityHall",52
"270","42101024900","CityHall",49
"271","42101025300","CityHall",51
"272","42101034801","CityHall",89
"273","42101026600","CityHall",62
"274","42101027500","CityHall",48
"275","42101028000","CityHall",48
"276","42101029000","CityHall",45
"277","42101029900","CityHall",54
"278","42101030800","CityHall",66
"279","42101031102","CityHall",69
"280","42101032500","CityHall",70
"281","42101033000","CityHall",76
"282","42101033701","CityHall",67
"283","42101033800","CityHall",75
"284","42101034701","CityHall",99
"285","42101035200","CityHall",94
"286","42101036100","CityHall",92
"287","42101036400","CityHall",89
"288","42101001600","CityHall",32
"289","42101980500","CityHall",43
"290","42101980100","CityHall",61
"291","42101980600","CityHall",35
"292","42101023100","CityHall",78
"293","42101011700","CityHall",45
"294","42101025800","CityHall",71
"295","42101001102","CityHall",25
"296","42101038100","CityHall",91
"297","42091206201","CityHall",153
"298","42045402300","CityHall",48
"299","42091205811","CityHall",117
"300","42101989300","CityHall",52
"301","42101980002","CityHall",58
"302","42101012501","CityHall",22
"303","42017100213","CityHall",172
"304","42045410306","CityHall",133
"305","42017100103","CityHall",100
"306","42017104701","CityHall",129
"307","42017101603","CityHall",138
"308","42017100811","CityHall",148
"309","42017100304","CityHall",172
"310","42091202100","CityHall",73
"311","42091203303","CityHall",94
"312","42091200502","CityHall",89
"313","42091202603","CityHall",78
"314","42091206300","CityHall",148
"315","42091202201","CityHall",61
"316","42091205503","CityHall",78
"317","42091205300","CityHall",80
"318","42045406902","CityHall",156
"319","42045407805","CityHall",102
"320","42045401401","CityHall",81
"321","42045406300","CityHall",144
"322","42045405000","CityHall",112
"323","42045404800","CityHall",103
"324","42045406202","CityHall",144
"325","42045409100","CityHall",78
"326","42045402700","CityHall",81
"327","42045409602","CityHall",87
"328","42045407502","CityHall",75
"329","42045406100","CityHall",105
"330","42045403601","CityHall",103
"331","42045403501","CityHall",103
"332","42045410800","CityHall",117
"333","42045401900","CityHall",83
"334","42045401402","CityHall",72
"335","42045403402","CityHall",120
"336","42045401302","CityHall",88
"337","42045400600","CityHall",59
"338","42045400402","CityHall",51
"339","42045408300","CityHall",80
"340","42045407201","CityHall",103
"341","42045407902","CityHall",149
"342","42101030600","CityHall",51
"343","42101030700","CityHall",55
"344","42101031101","CityHall",65
"345","42101031300","CityHall",54
"346","42101031600","CityHall",67
"347","42101031700","CityHall",59
"348","42101032300","CityHall",61
"349","42101032600","CityHall",69
"350","42101033101","CityHall",76
"351","42101033600","CityHall",74
"352","42101035302","CityHall",97
"353","42101036301","CityHall",97
"354","42101003800","CityHall",28
"355","42101008302","CityHall",34
"356","42101000600","CityHall",22
"357","42101001400","CityHall",32
"358","42101001900","CityHall",36
"359","42101002300","CityHall",29
"360","42101002400","CityHall",28
"361","42101002900","CityHall",20
"362","42101003001","CityHall",24
"363","42101003300","CityHall",35
"364","42101003902","CityHall",28
"365","42101036201","CityHall",83
"366","42101004002","CityHall",29
"367","42101035701","CityHall",90
"368","42101037200","CityHall",35
"369","42101005500","CityHall",64
"370","42101006500","CityHall",46
"371","42101007101","CityHall",34
"372","42101007102","CityHall",47
"373","42101008000","CityHall",32
"374","42101008102","CityHall",45
"375","42101017601","CityHall",45
"376","42101008400","CityHall",31
"377","42101009100","CityHall",28
"378","42101009300","CityHall",32
"379","42101010000","CityHall",48
"380","42101010100","CityHall",48
"381","42101014400","CityHall",32
"382","42101015101","CityHall",42
"383","42101015300","CityHall",32
"384","42101015800","CityHall",50
"385","42101016701","CityHall",37
"386","42101017201","CityHall",42
"387","42091206004","CityHall",137
"388","42101017900","CityHall",50
"389","42101018002","CityHall",53
"390","42101037900","CityHall",57
"391","42101019000","CityHall",44
"392","42101019100","CityHall",60
"393","42101019800","CityHall",33
"394","42101020200","CityHall",36
"395","42101020500","CityHall",53
"396","42101021000","CityHall",44
"397","42101021600","CityHall",71
"398","42101021800","CityHall",63
"399","42101038500","CityHall",72
"400","42101023600","CityHall",52
"401","42101026301","CityHall",59
"402","42101024500","CityHall",59
"403","42101024600","CityHall",53
"404","42101038900","CityHall",51
"405","42101026000","CityHall",52
"406","42101026100","CityHall",71
"407","42101026500","CityHall",63
"408","42101027300","CityHall",58
"409","42101027401","CityHall",43
"410","42101027901","CityHall",51
"411","42101027902","CityHall",47
"412","42101028700","CityHall",42
"413","42101029100","CityHall",67
"414","42101029200","CityHall",69
"415","42101030000","CityHall",56
"416","42101010300","CityHall",34
"417","42101037500","CityHall",74
"418","42101036000","CityHall",94
"419","42101002000","CityHall",43
"420","42101014100","CityHall",36
"421","42101017400","CityHall",40
"422","42101024000","CityHall",49
"423","42101002702","CityHall",32
"424","42101038000","CityHall",65
"425","42045980000","CityHall",67
"426","42101016001","CityHall",41
"427","42101004104","CityHall",30
"428","42101001204","CityHall",23
"429","42101036902","CityHall",25
"430","42101020701","CityHall",62
"431","42101000403","CityHall",13
"432","42101000806","CityHall",16
"433","42101980003","CityHall",36
"434","42101980701","CityHall",62
"435","42091200103","CityHall",106
"436","42017104702","CityHall",129
"437","42017100201","CityHall",105
"438","42017100401","CityHall",148
"439","42045406402","CityHall",130
"440","42101980903","CityHall",56
"441","42091202301","CityHall",64
"442","42091201800","CityHall",69
"443","42091201411","CityHall",118
"444","42091200602","CityHall",150
"445","42091201606","CityHall",85
"446","42091204104","CityHall",105
"447","42091205402","CityHall",88
"448","42091980300","CityHall",117
"449","42101036600","CityHall",45
"450","42101008601","CityHall",33
"451","42101980400","CityHall",62
"452","42101033200","CityHall",83
"453","42101008301","CityHall",40
"454","42101009200","CityHall",48
"455","42101011900","CityHall",55
"456","42101012204","CityHall",46
"457","42101015200","CityHall",32
"458","42101018400","CityHall",98
"459","42101019900","CityHall",41
"460","42101038800","CityHall",78
"461","42101024700","CityHall",43
"462","42101027800","CityHall",42
"463","42101030200","CityHall",56
"464","42101031200","CityHall",71
"465","42101033300","CityHall",76
"466","42101033900","CityHall",69
"467","42101035500","CityHall",87
"468","42101035800","CityHall",94
"469","42101034702","CityHall",69
"470","42045403002","CityHall",116
"471","42045406201","CityHall",144
"472","42045400500","CityHall",58
"473","42045404101","CityHall",120
"474","42101010400","CityHall",41
"475","42101010500","CityHall",42
"476","42101039001","CityHall",47
"477","42101039002","CityHall",88
"478","42101014201","CityHall",30
"479","42101000701","CityHall",18
"480","42091205806","CityHall",93
"481","42091203402","CityHall",105
"482","42091206007","CityHall",137
"483","42101008802","CityHall",29
"484","42101013900","CityHall",32
"485","42101015102","CityHall",37
"486","42101017300","CityHall",48
"487","42029300201","CityHall",114
"488","42045404500","CityHall",126
"489","42045404102","CityHall",119
"490","42101000902","CityHall",27
"491","42101004101","CityHall",23
"492","42101028300","CityHall",46
"493","42101028901","CityHall",58
"494","42101012203","CityHall",55
"495","42101034501","CityHall",80
"496","42101013300","CityHall",25
