"","from_id","to_id","travel_time_p50"
"213","42017100207","CityHall",125
"214","42017100208","CityHall",127
"215","42017100211","CityHall",105
"216","42017100600","CityHall",173
"217","42017100403","CityHall",179
"218","42091201302","CityHall",109
"219","42091201607","CityHall",92
"220","42091200308","CityHall",94
"221","42091200401","CityHall",106
"222","42091203902","CityHall",126
"223","42091206400","CityHall",138
"224","42045403901","CityHall",103
"225","42045404700","CityHall",104
"226","42045410601","CityHall",93
"227","42045404004","CityHall",120
"228","42045406700","CityHall",150
"229","42045405300","CityHall",126
"230","42045403401","CityHall",83
"231","42045402800","CityHall",125
"232","42045404103","CityHall",100
"233","42045408800","CityHall",74
"234","42045408700","CityHall",90
"235","42045402100","CityHall",52
"236","42045407901","CityHall",126
"237","42045407401","CityHall",90
"238","42045408103","CityHall",84
"239","42045404003","CityHall",90
"240","42045400401","CityHall",54
"241","42045404600","CityHall",104
"242","42101002500","CityHall",34
"243","42101003002","CityHall",28
"244","42101003600","CityHall",38
"245","42101004202","CityHall",39
"246","42101006000","CityHall",62
"247","42101007000","CityHall",39
"248","42101008101","CityHall",44
"249","42101008500","CityHall",35
"250","42101009400","CityHall",32
"251","42101009801","CityHall",55
"252","42101010200","CityHall",34
"253","42101010700","CityHall",40
"254","42101011200","CityHall",39
"255","42101011400","CityHall",53
"256","42101011800","CityHall",63
"257","42101013402","CityHall",28
"258","42101013800","CityHall",41
"259","42101014600","CityHall",25
"260","42101016100","CityHall",46
"261","42101016902","CityHall",44
"262","42101017100","CityHall",41
"263","42101038200","CityHall",48
"264","42101019200","CityHall",58
"265","42101020102","CityHall",32
"266","42101020900","CityHall",51
"267","42101038400","CityHall",94
"268","42101023800","CityHall",53
"269","42101024900","CityHall",50
"270","42101025300","CityHall",63
"271","42101034801","CityHall",95
"272","42101026600","CityHall",62
"273","42101027500","CityHall",51
"274","42101028000","CityHall",50
"275","42101029000","CityHall",46
"276","42101029900","CityHall",55
"277","42101030800","CityHall",69
"278","42101031102","CityHall",73
"279","42101032500","CityHall",70
"280","42101033000","CityHall",76
"281","42101033701","CityHall",68
"282","42101033800","CityHall",79
"283","42101034701","CityHall",99
"284","42101035200","CityHall",101
"285","42101036100","CityHall",92
"286","42101036400","CityHall",89
"287","42101001600","CityHall",32
"288","42101980500","CityHall",47
"289","42101980100","CityHall",63
"290","42101980600","CityHall",37
"291","42101023100","CityHall",79
"292","42101011700","CityHall",47
"293","42101025800","CityHall",71
"294","42101001102","CityHall",25
"295","42101038100","CityHall",94
"296","42091206201","CityHall",153
"297","42045402300","CityHall",49
"298","42091205811","CityHall",117
"299","42101989300","CityHall",53
"300","42101980002","CityHall",58
"301","42101012501","CityHall",30
"302","42017100213","CityHall",173
"303","42045410306","CityHall",133
"304","42017100103","CityHall",101
"305","42017104701","CityHall",132
"306","42017101603","CityHall",144
"307","42017100811","CityHall",149
"308","42017100304","CityHall",173
"309","42091202100","CityHall",73
"310","42091203303","CityHall",107
"311","42091200502","CityHall",92
"312","42091202603","CityHall",78
"313","42091206300","CityHall",148
"314","42091202201","CityHall",62
"315","42091205503","CityHall",78
"316","42091205300","CityHall",80
"317","42045406902","CityHall",168
"318","42045407805","CityHall",105
"319","42045401401","CityHall",84
"320","42045406300","CityHall",149
"321","42045405000","CityHall",126
"322","42045404800","CityHall",103
"323","42045406202","CityHall",144
"324","42045409100","CityHall",90
"325","42045402700","CityHall",88
"326","42045409602","CityHall",87
"327","42045407502","CityHall",87
"328","42045406100","CityHall",105
"329","42045403601","CityHall",103
"330","42045403501","CityHall",103
"331","42045410800","CityHall",119
"332","42045401900","CityHall",87
"333","42045401402","CityHall",72
"334","42045403402","CityHall",125
"335","42045401302","CityHall",89
"336","42045400600","CityHall",61
"337","42045400402","CityHall",51
"338","42045408300","CityHall",80
"339","42045407201","CityHall",103
"340","42045407902","CityHall",149
"341","42101030600","CityHall",56
"342","42101030700","CityHall",60
"343","42101031101","CityHall",71
"344","42101031300","CityHall",55
"345","42101031600","CityHall",67
"346","42101031700","CityHall",59
"347","42101032300","CityHall",64
"348","42101032600","CityHall",69
"349","42101033101","CityHall",76
"350","42101033600","CityHall",77
"351","42101035302","CityHall",97
"352","42101036301","CityHall",100
"353","42101003800","CityHall",30
"354","42101008302","CityHall",35
"355","42101000600","CityHall",23
"356","42101001400","CityHall",34
"357","42101001900","CityHall",38
"358","42101002300","CityHall",31
"359","42101002400","CityHall",34
"360","42101002900","CityHall",22
"361","42101003001","CityHall",27
"362","42101003300","CityHall",38
"363","42101003902","CityHall",30
"364","42101036201","CityHall",87
"365","42101004002","CityHall",31
"366","42101035701","CityHall",90
"367","42101037200","CityHall",37
"368","42101005500","CityHall",64
"369","42101006500","CityHall",46
"370","42101007101","CityHall",35
"371","42101007102","CityHall",49
"372","42101008000","CityHall",33
"373","42101008102","CityHall",45
"374","42101017601","CityHall",45
"375","42101008400","CityHall",33
"376","42101009100","CityHall",30
"377","42101009300","CityHall",35
"378","42101010000","CityHall",48
"379","42101010100","CityHall",49
"380","42101014400","CityHall",33
"381","42101015101","CityHall",46
"382","42101015300","CityHall",37
"383","42101015800","CityHall",52
"384","42101016701","CityHall",44
"385","42101017201","CityHall",43
"386","42091206004","CityHall",138
"387","42101017900","CityHall",53
"388","42101018002","CityHall",54
"389","42101037900","CityHall",59
"390","42101019000","CityHall",52
"391","42101019100","CityHall",60
"392","42101019800","CityHall",36
"393","42101020200","CityHall",37
"394","42101020500","CityHall",57
"395","42101021000","CityHall",45
"396","42101021600","CityHall",71
"397","42101021800","CityHall",65
"398","42101038500","CityHall",73
"399","42101023600","CityHall",53
"400","42101026301","CityHall",76
"401","42101024500","CityHall",59
"402","42101024600","CityHall",53
"403","42101038900","CityHall",61
"404","42101026000","CityHall",52
"405","42101026100","CityHall",74
"406","42101026500","CityHall",63
"407","42101027300","CityHall",60
"408","42101027401","CityHall",43
"409","42101027901","CityHall",52
"410","42101027902","CityHall",48
"411","42101028700","CityHall",42
"412","42101029100","CityHall",67
"413","42101029200","CityHall",74
"414","42101030000","CityHall",58
"415","42101010300","CityHall",38
"416","42101037500","CityHall",76
"417","42101036000","CityHall",94
"418","42101002000","CityHall",43
"419","42101014100","CityHall",37
"420","42101017400","CityHall",41
"421","42101024000","CityHall",50
"422","42101002702","CityHall",34
"423","42101038000","CityHall",68
"424","42045980000","CityHall",67
"425","42101016001","CityHall",41
"426","42101004104","CityHall",34
"427","42101001204","CityHall",24
"428","42101036902","CityHall",25
"429","42101020701","CityHall",69
"430","42101000403","CityHall",15
"431","42101000806","CityHall",16
"432","42101980003","CityHall",36
"433","42101980701","CityHall",69
"434","42091200103","CityHall",118
"435","42017104702","CityHall",132
"436","42017100201","CityHall",106
"437","42017100401","CityHall",149
"438","42045406402","CityHall",138
"439","42101980903","CityHall",56
"440","42091202301","CityHall",71
"441","42091201800","CityHall",69
"442","42091201411","CityHall",118
"443","42091200602","CityHall",150
"444","42091201606","CityHall",88
"445","42091204104","CityHall",108
"446","42091205402","CityHall",90
"447","42091980300","CityHall",117
"448","42101036600","CityHall",47
"449","42101008601","CityHall",38
"450","42101980400","CityHall",62
"451","42101033200","CityHall",83
"452","42101008301","CityHall",49
"453","42101009200","CityHall",48
"454","42101011900","CityHall",64
"455","42101012204","CityHall",54
